ImgPath,Caption
/home/final_dataset/real/Scene/LSUN_bedroom/image_04269.png,"A bedroom scene with a neatly made bed, brown and white sheets, a dresser, a painting, and a mirror. The room is well-lit and has a cozy atmosphere."
/home/final_dataset/real/Scene/LSUN_bedroom/image_00927.png,"A spacious bedroom with hardwood floors and high ceilings features a large bed with a striped orange and cream bedspread, a wooden dresser with a lamp on top, and a window with a view of the city. The room is decorated in warm, earth-toned colors, and the lighting is bright and inviting."
/home/final_dataset/real/Scene/LSUN_bedroom/image_04716.png,"A bedroom scene with a neatly made bed, a window with purple curtains, a nightstand with a lamp, and a framed picture on the wall. The room is painted in light beige and decorated with pastel colors. The lighting is soft and warm, creating a cozy atmosphere."
/home/final_dataset/real/Scene/LSUN_bedroom/image_00014.png,"A bedroom scene with a large bed, two nightstands, and a painting on the wall. The bed has a red comforter and is surrounded by matching pillows. The walls are painted in shades of red and beige, and the room is well-lit."
/home/final_dataset/real/Scene/LSUN_bedroom/image_05170.png,"A spacious bedroom with a large bed and a glass table. The room features hardwood floors and beige walls, and the bed has a grey blanket. The room is well-lit, with natural light coming in through the sliding glass doors."
/home/final_dataset/real/Scene/LSUN_bedroom/image_00716.png,"A bedroom scene with a bed, nightstands, and a window. The bed is made up with a white sheet and a red blanket. The nightstands are made of wood and have a single drawer each. The window is covered with a white curtain. The room is dimly lit and has a cozy atmosphere."
/home/final_dataset/real/Scene/LSUN_bedroom/image_08108.png,"A bedroom scene with a large bed, two nightstands, a window, and a closet. The bed has a black comforter and pillows with blue and red patterns. The nightstands have plants on them. The window has blinds and the closet has white doors. The room is well-lit and cozy."
/home/final_dataset/real/Scene/LSUN_bedroom/image_01766.png,"A large bedroom with a four-poster canopy bed dressed in blue and white bedding. The room features a black desk and chair, a couch, and multiple books scattered throughout. The walls are painted white, and the room is well-lit, creating a cozy and inviting atmosphere."
/home/final_dataset/real/Scene/LSUN_bedroom/image_09131.png,"A bedroom with blue walls, a bed with a metal headboard and footboard, white sheets, and a window."
/home/final_dataset/real/Scene/LSUN_bedroom/image_00079.png,"A cozy bedroom with a sloped ceiling features a large window with white curtains, a bed with a wooden headboard and footboard, and a nightstand with a lamp. The walls are painted white, and the room is decorated with a colorful rug and a floral patterned couch. The room has a warm and inviting ambiance, with natural light illuminating the space."
/home/final_dataset/real/Scene/LSUN_bedroom/image_04158.png,"A pink bedroom scene features a single bed with a Disney princess comforter set, including a pink bed sheet, pillowcases, and a pink blanket. The room has a white wooden bed frame and a nightstand on the left side. The walls are painted in light pink, and the room is well-lit with natural light coming in through the window. The furniture is pink and white, giving the room a girly and cozy atmosphere."
/home/final_dataset/real/Scene/LSUN_bedroom/image_06420.png,"A bedroom with a large bed, nightstand, and a window. The room is painted white and has a black headboard on the bed. The bed has white sheets and a black blanket at the top. There is a potted plant on a table and a couch in the corner of the room. The lighting is dim."
/home/final_dataset/real/Scene/LSUN_bedroom/image_02716.png,"A hotel room with two large beds, a desk and chair, a flat screen TV, and large windows letting in natural light. The walls are white and the curtains are tan. There is a yellow pendant light hanging above the beds."
/home/final_dataset/real/Scene/LSUN_bedroom/image_00174.png,"A spacious bedroom with a king-sized bed, a black tufted ottoman, a zebra print rug, and a fireplace. The room features hardwood floors and a bar area with liquor bottles. The walls are painted in beige and black, and there's a black and white checkered accent wall. The lighting is dim, creating a cozy atmosphere."
/home/final_dataset/real/Scene/LSUN_bedroom/image_08994.png,"A pink and purple bedroom with a bed, desk, chair, bookshelf, and storage cabinets. The room is well-lit and has a clean layout."
/home/final_dataset/real/Scene/LSUN_bedroom/image_08760.png,"A bedroom scene with a large bed, dresser, TV, and window. The bed has a white comforter with blue and pink accents, and there are floral curtains on the window. The dresser has a TV on top of it. The room is painted white and has a bright and airy feel."
/home/final_dataset/real/Scene/LSUN_bedroom/image_04439.png,"A cozy bedroom with a white chair and a copper side table. The walls are black with vertical stripes of gold. The chair has a pink blanket draped over it, and a vase of flowers sits on the side table. The room is dimly lit, creating a warm and inviting atmosphere."
